DMG ALTERNATE FORME aegislashblade: pkmn: 'Blade' 'undefined', dmg: 'undefined'
PSIM TIER smeargle: pkmn: 'PU', psim: '(PU)'
PSIM TIER solrock: pkmn: 'PU', psim: '(PU)'
PSIM TIER spinda: pkmn: 'PU', psim: '(PU)'
PSIM TIER stantler: pkmn: 'PU', psim: '(PU)'
PSIM TIER stunfisk: pkmn: 'PU', psim: '(PU)'
PSIM TIER sudowoodo: pkmn: 'PU', psim: '(PU)'
PSIM TIER sunflora: pkmn: 'PU', psim: '(PU)'
PSIM TIER swalot: pkmn: 'PU', psim: '(PU)'
PSIM TIER swanna: pkmn: 'PU', psim: '(PU)'
PSIM TIER swoobat: pkmn: 'PU', psim: '(PU)'
PSIM TIER throh: pkmn: 'PU', psim: '(PU)'
PSIM TIER torkoal: pkmn: 'PU', psim: '(PU)'
PSIM TIER toucannon: pkmn: 'PU', psim: '(PU)'
PSIM TIER trevenant: pkmn: 'PU', psim: '(PU)'
PSIM TIER tropius: pkmn: 'PU', psim: '(PU)'
PSIM TIER turtonator: pkmn: 'PU', psim: '(PU)'
PSIM TIER typenull: pkmn: 'PU', psim: '(PU)'
PSIM TIER tyranitarmega: pkmn: 'OU', psim: '(OU)'
PSIM TIER unfezant: pkmn: 'PU', psim: '(PU)'
PSIM TIER unown: pkmn: 'PU', psim: '(PU)'
PSIM TIER ursaring: pkmn: 'PU', psim: '(PU)'
PSIM TIER vespiquen: pkmn: 'PU', psim: '(PU)'
PSIM TIER victreebel: pkmn: 'PU', psim: '(PU)'
PSIM TIER volbeat: pkmn: 'PU', psim: '(PU)'
PSIM TIER wailord: pkmn: 'PU', psim: '(PU)'
PSIM TIER walrein: pkmn: 'PU', psim: '(PU)'
PSIM TIER watchog: pkmn: 'PU', psim: '(PU)'
PSIM TIER whiscash: pkmn: 'PU', psim: '(PU)'
PSIM TIER wigglytuff: pkmn: 'PU', psim: '(PU)'
PSIM TIER wishiwashi: pkmn: 'PU', psim: '(PU)'
PSIM TIER wishiwashischool: pkmn: 'PU', psim: '(PU)'
PSIM TIER wobbuffet: pkmn: 'PU', psim: '(PU)'
PSIM TIER wormadam: pkmn: 'PU', psim: '(PU)'
PSIM TIER wormadamsandy: pkmn: 'PU', psim: '(PU)'
PSIM TIER wormadamtrash: pkmn: 'PU', psim: '(PU)'
PSIM TIER zangoose: pkmn: 'PU', psim: '(PU)'
PSIM TIER zebstrika: pkmn: 'PU', psim: '(PU)'
